"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001952","regulation of cell-matrix adhesion","3/14","132/28832",0.0227272727272727,46.8051948051948,11.6257961624851,3.29054141871055e-05,0.0170120991347335,0.00980234969994826,"Serpine1/Peak1/Sema3e",3
"GO:0001953","negative regulation of cell-matrix adhesion","2/14","37/28832",0.0540540540540541,111.320463320463,14.799953472819,0.000144408670369407,0.0250409232181661,0.0144285478382185,"Serpine1/Sema3e",2
"GO:0010810","regulation of cell-substrate adhesion","3/14","235/28832",0.0127659574468085,26.2905775075988,8.58014035903436,0.000182094172197868,0.0250409232181661,0.0144285478382185,"Serpine1/Peak1/Sema3e",3
"GO:0007160","cell-matrix adhesion","3/14","240/28832",0.0125,25.7428571428571,8.48389243004419,0.000193740218322368,0.0250409232181661,0.0144285478382185,"Serpine1/Peak1/Sema3e",3
"GO:0010812","negative regulation of cell-substrate adhesion","2/14","63/28832",0.0317460317460317,65.3786848072562,11.2748804128309,0.000420425308089315,0.0434719768564351,0.0250484973030055,"Serpine1/Sema3e",2
"GO:0031589","cell-substrate adhesion","3/14","376/28832",0.00797872340425532,16.4316109422492,6.6386567509828,0.000719741989766908,0.0620177681182486,0.0357345584393044,"Serpine1/Peak1/Sema3e",3
"GO:0006935","chemotaxis","3/14","475/28832",0.00631578947368421,13.0069172932331,5.81580899343399,0.00141276876548119,0.0722829724083475,0.0416493559840422,"Egr3/Serpine1/Sema3e",3
"GO:0042330","taxis","3/14","477/28832",0.00628930817610063,12.952380952381,5.80177313666983,0.00142990564619673,0.0722829724083475,0.0416493559840422,"Egr3/Serpine1/Sema3e",3
"GO:0016525","negative regulation of angiogenesis","2/14","118/28832",0.0169491525423729,34.9055690072639,8.13443035465123,0.00146352654632876,0.0722829724083475,0.0416493559840422,"Serpine1/Sema3e",2
"GO:2000181","negative regulation of blood vessel morphogenesis","2/14","120/28832",0.0166666666666667,34.3238095238095,8.06260709076792,0.00151293453836619,0.0722829724083475,0.0416493559840422,"Serpine1/Sema3e",2
